CNNIndonesia.csv,detikcom.csv,tvOneNews.csv,VIVAcoid.csv
1609127556967727105,1609315299597160450,1609324533416361984,1609080450894692353
1609108662219603969,1609230921370042368,1608990708068929537,1608736288487903236
1609103621928652800,1609178919583850498,1608746980502831104,1608421375739580416
1609058774702239744,1609175197801758720,1607890097869066241,1607959789283454979
1609035594700840960,1609163573581778944,1607890083407097857,1607886187766910977
1609023752691658754,1609039208877887490,1607678454765588481,1607875860484456448
1608921213463859202,1608821260271714305,1606380411755855872,1607535117232410624
1608728254294417408,1608808292381237248,1606140190984409088,1607226337210826755
1608717912864591880,1608754923444883459,1606063426002092032,1606968768386990080
1608685661699338241,1608713387290103808,1605849008848908288,1606287522459717638
1608684907118854144,1608703586296291328,1605444029705261056,1605789114913394688
1608628937319497728,1608701367736012800,1605004978611159041,1605138835712921601
1608625203420233728,1608695270019039232,1604675779010646016,1604700942393561089
1608402510448054272,1608671565931053062,1604432301001412608,1604678683813634049
1608259181957742592,1608667523108556801,1604353403307843590,1604247451455852544
1608257671534374912,1608446829925990401,1603512128996249600,1604228592925564928
1608253895633145863,1608441391796965378,1603421016189173760,1604146938051727361
1608114100718161920,1608426761645080577,1603359538174132224,1603844685042454528
1608093885234049026,1608377052129787913,1603012722198970369,1603763766243758080
1608066493119627270,1608318491349897216,1602922101228589057,1603760496154652673
1608013345080381441,1608086135426752512,1602892904057700352,1603720868286574593
1607993448791175168,1608070751776555010,1602682284658024448,1603705388503040005
1607887918328344576,1608070363082006531,1602671192762388480,1603671320918884352
1607875075562442753,1608054972700151809,1602565621245710338,1603377624902152192
1607702331302514688,1608050506642952193,1602289932374245376,1603363279740751872
1607656243493212160,1608039115513073664,1602176059319123969,1603331812100829184
1607601354746531842,1608012321435131907,1602121057833349120,1603328770345426944
1607568869107044352,1607965144155389954,1602102952264892416,1603313933003390976
1607516997612625920,1607947315888721920,1601857588987326465,1603298075702808576
1607384291310473217,1607930435492876290,1601810653752459266,1603285764087119872
1606899809054752774,1607902978987401217,1601508293234798592,1603209875177496576
1606840885672841216,1607819087605891072,1601425105091010563,1603208328540192769
1606840047231471616,1607768566182383618,1601409375125803008,1602978347004592128
1606589079537479681,1607751343309000725,1601080336292929536,1602970188236095489
1606575733425393664,1607691268280274950,1600873232391090176,1602857419646062597
1606568180289527808,1607682411101405184,1600698075408117760,1602695899800797187
1606522097219821570,1607654220529909760,1600516758976487429,1602635838776840193
1606485080427626496,1607652916805894144,1600504541480648705,1602634452244602880
1606452346116263937,1607628299856912384,1600306866479067138,1602616852387336194
1606443531261734913,1607514848853630976,1600190219617472512,1602596854205935617
1606266759736328192,1607344638809063425,1600128960138207233,1602543849527775234
1606255427980644353,1607303142160343042,1600101156126347264,1602468347748171777
1606153951916593153,1607267543428759553,1600099324159197184,1602262752504221697
1606084954365890560,1607264884328202240,1600092690116247552,1602211665709260803
1606077651566747648,1607254750168338434,1600059737340407808,1602182724210806785
1605837183671492608,1607209404083863553,1599727174084628483,1602160209400852480
1605723860921225216,1607101299765514240,1599713224425107456,1602146610729095168
1605716307747692545,1606843643561648135,1599696968208764929,1602142205824860161
1605508059115114496,1606675399269916674,1599640730187726848,1602071261282455552
1605452413577867264,1606604599758028800,1599631791643840512,1601817190042595329
1605411014803329024,1606516339807502336,1599416385121439746,1601735150836273152
1605410283664527360,1606502875873656838,1599377620281749505,1601728472581394432
1605401917886066688,1606489007721938946,1599292826571124738,1601590818519011328
1605295619874369537,1606488065370906624,1599268518767517698,1601546795825659904
1605225314862641152,1606214161402314753,1599242866559455233,1601533319979507712
1605145966155157504,1606191873835638785,1599037258782605313,1601147161176989697
1605118711169712134,1606188616191037440,1599005786373763072,1601143884448686081
1605013729342820353,1605967539799998465,1598981399448784902,1601094807589654529
1604982693967515648,1605959965184851969,1598859569773436934,1601088015472144385
1604769425663500288,1605892198070984704,1598844750731579393,1601043246364626944
1604660180838273024,1605878809223389187,1598641142051966977,1601039693835272193
1604288764611682304,1605839482737115142,1598619746865655808,1600839898923425792
1604252928310513664,1605810707446091782,1598372874376871936,1600708785299165185
1604086628578127872,1605721752486776833,1598261449133989888,1600686656507592707
1603893365266821120,1605683626133393408,1598260636953505793,1600649268330901504
1603693286367301638,1605578669686153217,1598233971447721984,1600551481132089344
1603555791029829632,1605570550398652418,1597942059352346625,1600498145678733312
1603544692586852352,1605533402278543360,1597898272374689792,1600422878809579520
1603382225189208064,1605486982196518912,1597805790269620226,1600340965851820032
1603369610094387201,1605450381324173313,1597774194624073728,1600283208545107968
1603354725952344064,1605428316978257920,1597525063116652545,1600254013987254272
1603309316290711552,1605411336619524098,1597483595416760325,1600119378582077442
1603248021005041664,1605396052059750400,1597473192624652289,1600114359795343360
1603238936155156480,1605219000182603777,1597230494831489024,1600037360527642625
1603219760321531904,1605117698140262400,1597184544721240064,1599993676209717248
1603217486383484928,1605094540762816513,1597130055083520002,1599898679431016448
1603216729433575425,1605087959786586115,1597096457802493953,1599812379684274177
1603190496406315008,1605076768989351937,1597057941353672705,1599811609014460416
1603043666964414467,1605072790981427202,1596866331949027330,1599719520662589440
1602994728554835971,1605049101569204224,1596803912149143552,1599700747373121537
1602969751369953280,1604926737003036673,1596781651618828288,1599668529846181889
1602940994475134981,1604823729380495362,1596778124121112578,1599661866359615489
1602917286100480001,1604791291807670277,1596330662788988931,1599597081530109952
1602911230758244352,1604778816404070400,1596079031858139137,1599532509905457154
1602907951874072578,1604768549750423552,1596048542153334786,1599509115386368000
1602899882246688769,1604751326981853185,1595812608296091649,1599441039580090368
1602884995105685504,1604740305110142977,1595569428636536832,1599249148909617153
1602865317793136640,1604669217349009408,1595372629216882688,1599239082559016961
1602850182928142336,1604414555551141888,1595357682684530690,1599163084127760385
1602845140259045376,1604410656635162624,1594995278847041538,1599091890171039744
1602796955477848065,1604342473979039744,1594946812632535040,1599005054316740610
1602598184852652032,1604290365384785925,1594633535767580674,1598988175330115585
1602595578382204929,1604208140408561664,1594590511917977602,1598964650024251393
1602509408042303488,1604098972678864898,1594317303843266562,1598922003389767681
1602472585970692096,1604092122227003392,1594292616686104576,1598728467864252416
1602418108819329024,1604079778235138050,1594214975132041221,1598659508271992832
1602288456029569026,1604074813928218624,1594116083174477824,1598659005676924928
1602285685993398272,1604020819847528449,1593827923202830336,1598373370579816448
1602268029135376384,1604004294109315072,1593723485855318016,1598272980047781889
1602245326210928640,1604001695440048129,1593566978832494593,1598255710927831040
1602223376189509632,1603977793355845640,1593273648177348609,1598210355355852803
1602167136100941824,1603947371037179904,1592807448062361602,1598204529828597763
1602158815012524032,1603933127650541569,1592356858509295617,1598193941463322624
1602131834347094017,1603903074531254275,1592062597724897280,1598187148989325318
1601900058676703232,1603720985085190144,1591921900594561026,1598150536536391680
1601849265084542978,1603695213536579587,1591775026822672385,1598148642543915008
1601837510333956097,1603685157118136321,1591669885796462592,1598082335777648642
1601818847455371264,1603679363211427840,1591552307090821121,1598077048853270528
1601783790740811776,1603667516232028160,1591319908255924224,1597948353899532288
1601754286743961600,1603659514737197056,1591027970692775937,1597938683604262912
1601738653578846209,1603641033820176385,1590616287302287360,1597870062362206208
1601523780005744640,1603640681804828672,1590449921278488576,1597803114987663366
1601505368047116289,1603634627276689413,1590299962331758594,1597780843103424512
1601490240245374976,1603622155643748353,1590132875512680449,1597745863652438016
1601489483643310080,1603589862032023557,1589771450688638977,1597567832325525504
1601413573045284869,1603561002225881090,1589560310457069569,1597535988053872641
1601398691398447105,1603514327432044546,1589193416134787072,1597530447537668098
1601279423050752000,1603482164540178436,1589157025287925762,1597515773811064832
1601101633420922887,1603376290219835394,1589116005791694848,1597511580887179265
1601088017347014657,1603360175255175168,1588832261767852034,1597462869137936384
1601081965590900736,1603347108844666882,1588735355519258629,1597428645613953025
1601068347096936448,1603339973473730562,1588638621632188416,1597419091186569216
1601028763520622592,1603339152216530946,1588533788162031616,1597416091353231361
1601013880443936768,1603328523137155073,1588515427239759876,1597275518080278528
1600833077088952320,1603323352592142336,1588481692511383553,1597168546290798593
1600817950050566144,1603300346071289857,1587974126723272704,1597155355615985664
1600797523488436225,1603285120571641857,1587852554515673089,1597126281476603904
1600758184829779968,1603267544802115584,1587718869409357824,1597115083653775361
1600740784428367873,1603261389904220161,1587430540793503744,1597091297202167808
1600734729770536961,1603206386149646336,1587039213899640833,1597077843426656256
1600564783379468288,1603192960727875586,1586918381214699521,1597055699074195456
1600474509017948160,1603182489324986370,1586870572784537601,1597040979537977344
1600464675476381697,1603161352650035200,1586851705404411904,1596872106046001214
1600462405581950976,1603152647472701441,1586676053770383360,1596838134003945473
1600460137738575872,1603105820174319617,1586657547402240000,1596760763598766080
1600457113196974081,1603016227038822406,1586636292275990528,1596738348986818561
1600448034219130880,1602996472596889607,1586623453444341760,1596735077513592838
1600426103197220864,1602954497810112513,1586462636291821568,1596566096186048513
1600420804348366848,1602938234916446209,1586245499971338240,1596488947873746945
1600417777939906560,1602928506312220673,1586048549451878400,1596398502288187392
1600413241972183040,1602923128744722434,1585982503927828481,1596277703908683777
1600380715106897920,1602919642741329921,1585920853166149632,1596045301215023104
1600354996561670145,1602897855538237440,1585905262845915136,1595930275619360768
1600347434399375360,1602875085743951874,1585826986089336832,1595751598487408646
1600315993150001152,1602871017914916865,1585814016597057537,1595709194321432576
1600302312236281859,1602858032777633798,1585621356800266241,1595633825555832832
1600280377410867203,1602851674061770753,1585588638364336129,1595630298766925825
1600122788962238465,1602829672370290688,1585484451488092160,1595484604341051392
1600040355029655552,1602822341704261632,1585482963361607680,1595448727854264321
1600038841510899713,1602816972005298179,1585455256192028673,1595294866166394880
1600002541882085376,1602790744179326980,1585155905334947840,1595271198946242560
1599946729285193729,1602725659759071233,1585089389063213056,1594948881762381825
1599935475124297728,1602709290955018242,1584901978513375239,1594932588522934272
1599891615589376001,1602640713321250818,1584756947156602881,1594608197675159552
1599706575211761664,1602630156341985281,1584750359175925760,1594571949535277056
1599681614648266753,1602619345649254401,1584697760473026560,1594356285595877378
1599677074553196544,1602617703419846656,1584379670803648513,1594301045077049345
1599668754505691136,1602578576070643712,1584215455790923777,1593572363689693185
1599658164915347456,1602574668518592514,1584143739823722496,1593421873274318848
1599623887024979968,1602566577722900481,1583801886242529280,1593189841558474752
1599611784830529537,1602535402560176129,1583739727819468802,1593109183444180992
1599600945092243456,1602535147550740480,1583712268667473921,1592775617581551616
1599581280168947715,1602523697058877441,1583698426449260544,1592765922846330880
1599579010614587394,1602512752148357120,1583690877939388418,1592722261379002368
1599381877797711872,1602507370134913024,1583689117116039168,1592410714165346304
1599356669938479105,1602498702622482435,1583684839009816576,1592365799192555521
1599234157619474432,1602469103666663426,1583671008065880064,1592343891453571072
1599218025840119808,1602410066426138624,1583504436047286272,1592198559633670145
1599003256255959041,1602345190093619203,1583382893707276288,1592084559944122368
1598995465659449344,1602271536152559616,1583310885342556161,1591855441797320705
1598981285003022338,1602237759619534848,1582964099956494342,1591439057573511168
1598949314490863616,1602237479930716160,1582885484803788801,1590920029163622403
1598813196013346816,1602235599301263363,1582567791076335617,1590907804633944065
1598667046165909505,1602232999814340613,1582222968650104832,1590887931551838208
