tweet_id,tweet_url,tweet_date,tweet_conversation_id,reply_count,like_count,tweet
1608370085051379712,https://twitter.com/Kurnia_arif/status/1608370085051379712,2022-12-29 07:51:25+00:00,1608354182293250048,1,9,"@VIVAcoid Udah mulai segala cara di lakukan pengacara , sampai pembunuhan karakter juga di jalani..

Fokus aja pada kasusny, 🤣"
1607785606830239746,https://twitter.com/ZemaInsurgent/status/1607785606830239746,2022-12-27 17:08:54+00:00,1607553621625016320,0,18,"@VIVAcoid Pajero ko pake BBM bersubsidi,
Motor ku dong, meski beat tapi pake Pertamax dan cicilan sudah lunas! Wkwk"
1607772599928639496,https://twitter.com/AndyHuskyyy/status/1607772599928639496,2022-12-27 16:17:13+00:00,1607553621625016320,11,29,"@VIVAcoid ada mobil yg lebih arogan dari pajero &amp; fortuner tp gapernah disorot media sosial

""Innova"" 😬"
1607639078970986496,https://twitter.com/aldhiraaa/status/1607639078970986496,2022-12-27 07:26:39+00:00,1607553621625016320,0,18,@VIVAcoid Ini @Mitsubishi_ID perlu bikin test psikologi utk cabuy pajero ?
1607565768706904065,https://twitter.com/AgusSup78953147/status/1607565768706904065,2022-12-27 02:35:21+00:00,1607553621625016320,0,12,@VIVAcoid kasian ya brand pajero ini...jd jelek namanya...
1606683999895973888,https://twitter.com/RoyKimochi/status/1606683999895973888,2022-12-24 16:11:30+00:00,1606648687677276161,0,20,@VIVAcoid Justru demo ini menolak tindakan intoleran yang memaksa karyawan muslim pake atribut natal. Toleransi itu bukan ikut2an merayakan tapi menghargai orang2 yang merayakan. Toleransi kok maksa.
1606658408941510657,https://twitter.com/partiDahlan/status/1606658408941510657,2022-12-24 14:29:49+00:00,1606648687677276161,5,17,@VIVAcoid Makin ke sini orang makin bego gak paham makna toleransi.....toleransi itu bukan memaksa yg suka teh  dsuruh minum kopi trus nyuruh dicampur ...itu gak bener.mau merayakan natal silahkan...Tp jgn ngajak umat lain memaksa ikut
1606654839743971330,https://twitter.com/JagungTongkol/status/1606654839743971330,2022-12-24 14:15:38+00:00,1606509738220720128,0,59,"@VIVAcoid Panglima TNI, @Puspen_TNI, TNI harus bertanggungjawab. Ganti rugi kerusakan truk dan muatannya. Serta jatuhkan hukuman kepada  Brigjen TNI Eko Setyawan Airlangga"
1606645095285264384,https://twitter.com/mahardear31/status/1606645095285264384,2022-12-24 13:36:55+00:00,1606509738220720128,2,123,@VIVAcoid Sirinenya itu ngagetin tau.. kalo malem strobo kelip” birunya bikin sakit mata!!!
1606643004240195584,https://twitter.com/rohman_dn/status/1606643004240195584,2022-12-24 13:28:36+00:00,1606509738220720128,0,24,"@VIVAcoid harus nya si ganti rugi ke supir truk nya
lagian ganti rugi nya jg pke duit rakyat juga,
ibarat kata duit rakyat kembali ke rakyat"
1606638598199341060,https://twitter.com/AzharQc/status/1606638598199341060,2022-12-24 13:11:06+00:00,1606509738220720128,0,61,@VIVAcoid Semua ada aturan main nya.. jelas2 pajero nyalip dari kiri mau belok..semua sopir pun pasti kaget lah..
1606635874690953216,https://twitter.com/johnferry9/status/1606635874690953216,2022-12-24 13:00:17+00:00,1606509738220720128,0,22,@VIVAcoid Pak Jokowi selaku Panglima tertinggi sudah memberikan contoh dijalan raya. Seharusnya yg lain mengikuti yg sdh dicontohkan.
1606633929154654208,https://twitter.com/ElsaAgusnawati/status/1606633929154654208,2022-12-24 12:52:33+00:00,1606509738220720128,9,93,"@VIVAcoid Ada juga ni pejabat yang suka main golf didaerah Halim, mau maen golf aja pake sirine segala, mentang3 pejabat ga pengen banget kena macet, suka kesel, belagu2 amat."
1606630439242039296,https://twitter.com/YuliSatrio76/status/1606630439242039296,2022-12-24 12:38:41+00:00,1606509738220720128,26,314,"@VIVAcoid Untung selamat. Coba kalo meninggal  ribet lagi urusan tuh sopir truck.
Saya pengendara wanita , suka deg2an kalau lagi nyetir tiba2 di tet tot tet tot , kayanya urgent banget urusan mereka.
Apa merasa paling berkuasa.
Tlng pak @jokowi .Kita sdh cape pak dijalan dengar yg begini."
