tweet,labels
"@CNNIndonesia Sekalian aja bilang gaada pertandingan saat itu, kami sedang bermain paintball",0
"@CNNIndonesia Jauh2 ke malang, yg ditemukan pak erwin hanya 42 botol miras ??
Sedangkan Fans BTS, tak perlu ke malang sudah berhasil mengumpulkan dana 420 juta lebih hanya demi untuk rasa kemanusian dan solidaritas yg sangat mulia untuk para korban atas insiden tragedi kemanusiaan.",0
"@CNNIndonesia Pak Dedi ayo dong pak Dedi, statement kek gitu ga penting untuk disampaikan. Air juga tidak mematikan, tapi kalo bapak tenggelem di air, yaa mati pak. Asap orang bakar sampah juga tidak mematikan pak, tapi coba bapak bakar sampah di dalam rumah, trs bapa tutup pintunya.",0
"@CNNIndonesia Lapor nya kemana pa???ke kantor polisi??dikantor polisi aja apa apa kudu duit lama proses.di gedung DPR? apalagi di gedung DPR , anggota nya aja dimatiin mic-nya buat bela rakyat,apalagi udah demo depan gedung malah ngerayain ultah kan tolol.",0
@CNNIndonesia Babi ko !!!!!,0
@CNNIndonesia tujuan lesti baik. dia ingin mati sahid dibunuh suaminya,0
@CNNIndonesia Thanks CNN,0
@CNNIndonesia asli ini kayaknya tahun terberat kapolri,0
"@CNNIndonesia Datang ke negara orang, maksain nilai mereka yang bukan hanya bertentangan tapi merendahkan nilai budaya lokal, trus pundung dan ngancam mau keluar FIFA krn lokal ga setuju. Kalau lokal maksa lu pada baca 2 kalimat syahadat baru deh protes. Western mindset in a nutshell.",0
"@CNNIndonesia Mundur saja pak, berulang kali supporter mengingatkan benahi jadwal tanding yg terlalu malam. Sampai ada korban jiwa banyak gini anda hanya bisa minta maaf. Miris",0
@CNNIndonesia lah si sambo aja udah ga doyan ama bini nya ko bisa bisa nya perwira muda tampan mau memperkosa nenek nenek kaya  si putri  hal yg ga masuk akal🤣🤣,0
@CNNIndonesia Teringat KM50 dan Brigadir Yosua,0
"@CNNIndonesia Kesel bgt liat berita2 ga jelas gini. Coba deh mulai dari diri sendiri, ga usah lah nontonin artis2 ga jelas begini. apalagi artis yg ngumbar kebodohan, prank, konten sexual, jauh2in deh. mereka tambah kaya, lu tambah bego.",0
"@CNNIndonesia Reformasi 98 itu tujuannya hanya untuk menggulingkan pemerintahan Suharto, bukan untuk memperbaiki demokrasi..
lihat aja demokrasi sekarang yg makin dikebiri, walaupun pemenang pemilu partai yg ada embel2 demokrasi di namanya!",0
@CNNIndonesia kepribadian ganda itu contohnya aktivis anti korupsi jadi pembela polisi kaya raya di persidangan 🤡,0
"@CNNIndonesia Kok tau? Belum terjadi. Atau emang sudah kalian siapkan skenarionya? Tinggal mainkan drama nya. Yg Penting Presiden harus tetap orang jawa, ye kan?
Tinggal tunggu aja nih Negara pecah jadi beberapa Negara. Presiden RI kok harus spesifik 1 suku, tapi ngakunya NKRI, ANEH LOE WIR.",0
"@CNNIndonesia rakyat terbunuh karena kesalahan prosedur aparat yg tak sesuai statuta FIFA malah aparatnya yg dibela, memang lebih pas di cap dewan penghianat rakyat😏",0
"@CNNIndonesia Repotnya mau menaikkan citra tapi tidak didasari keikhlasan, tiap kali muncul di publik, anak buah jadi sibuk jelas2in",0
@CNNIndonesia Sebenernya birokrasi kita bisa sat set asal jadi anak presiden,0
"@CNNIndonesia Dear @FIFAcom , i would like to convey that 'oknum' in english means 'federation officials'. Thank you",0
"@CNNIndonesia Lah bukannya bpjs tu bayar premi yak ky asuransi ??? Kok jadi ""beban"" ??? Maksute piye iki ??? 😑🤨",0
"@CNNIndonesia Iya tahu..

Kerumunan ribuan suporter dilempari ular (gak berbisa) 50 biji. Yang ada panik, chaos, saling injek, desekan, sesak napas, mati.
Diotopsi ya gak ada akibat digigt ular!!!
Yg diselidiki ya yg ngelempar ulernya",0
@CNNIndonesia Saya mau presiden yg terpilih di 2024 hentikan IKN krn IKN proyek tidak berguna,0
"@CNNIndonesia @ildaaaan Knp gak sekalian ""Lelang Pulau Jawa Saja"" sdh lengkap Infrastrukturnya, Pabriknya, Jalanannya, Rakyat Jawa dijadikan KOELI sprt jaman VOC, bnyk pabrik2 ada Istana Presiden plus Tugu Monas ada emasnya diatasnya. Toch bedanya tipis antara pulau Jawa &amp; Pulau P. Widi; lbh Cuan malah",0
"@CNNIndonesia iya tau lagi krisis, kenapa harus kasar sih",0
@CNNIndonesia Betul. Sepenglihatan saya memang mereka hanya bawa serbet. Kebanyakan rakyat salah lihat. Maaf kami telah menuduh yang tidak-tidak.,0
@detikcom ngcok lg ngcok lg [dalgona],0
@detikcom Sangat presisi kalo soal bokep,0
"@detikcom @detik_jatim Mau kontennya 1000 video ya tidak merugikan. Giliran eksekutor penembak gas air mata yg merugikan 135 nyawa hilang dan ratusan luka luka gak ditangkap. Moral orang diurusin terus, giliran moral anggota ditutup tutupin.",0
@detikcom bukan grup wa doang anjiirr 😭 ini gue ngechat personal aja kaga bisaaa,0
"@detikcom Pecat? Ga di tahan? Minimal penjara 25 tahun + potong peler, terus permaluin diri nya seumur hidup. Itu pun kalo berani dan setimpal sih",0
"@detikcom Ini kasus judi bukan penipuan.
Dlm sistem perjudian tidak ada namanya korban tapi pelaku yg kalah bermain. Dan bandar bukanlah seorang penipu tapi pelaku  judi yg ulung yg membuat sistem perjudian. Maka berjudi adalah soal kelihaian bermain, bandar mah biasa selalu dapat banyak.",0
"@detikcom @detik_jatim Kejagung cctv kebakar
Km50 cctv rusak 
Duren3 cctv kesambar petir
Kanjuruhan cctv gangguan internet 
Hmm... Makin lama makin tidak manuk akal🗿",0
"@detikcom bnyak yg bilang medan sulit, mereka ga kuasai.. lha bumi kandang sendiri lho,, Jnd.Soedirman dulu sakit jg bergerilya.. gmn klo asing nyerang, mo bilang tanah air kita medannya ga kita kuasai ?!

jgn2 taktis mereka memang cm lawan ulama, supporter &amp; pendemo yg ga bersenjata..🙄🤔",0
"@detikcom Aku tuh bingung, bukannya kode etik jurnalis itu justru seharusnya ngasih tahu nama pelaku secara terang-terangan &amp; menyensor nama korban ya? 

Kok di sini mesti kebalik sih? Nama korban malah dipajang nyata, sedangkan nama pelaku malah disamarkan😓",0
"@detikcom @detik_jatim Gercep amat anjir, tapi giliran Sam",0
